Country,Total_imports
China,165378
United States of America,124075
Spain,36849
Mexico,30690
Italy,25244
Germany,22074
Japan,15296
Brazil,14369
India,13725
France,11177
Republic of Korea,10440
Colombia,10369
Turkey,7232
Canada,6963
U.K. of Great Britain and Northern Ireland,6713
Thailand,5272
Vietnam,5074
Panama,5037
Sweden,3947
Poland,3759
Netherlands,3660
Belgium,3520
Indonesia,3375
Portugal,3272
Guatemala,3124
Costa Rica,3047
Peru,2863
Swiss,2774
Czech Republic,2509
Austria,2458
Chili,2348
Argentina,2111
Denmark,2017
Malaysia,2009
El Salvador,1873
Bangladesh,1806
Hungary,1589
Romania,1477
Pakistan,1445
Morocco,1430
Honduras,1306
Ecuador,1172
Cambodia,1168
Bulgaria,1071
Slovak Republic,970
Philippines,828
Ireland,785
Israel,759
Egypt,724
Finland,708
Australia,677
Singapore,620
Sri Lanka,566
Lithuania,553
South Africa,534
Myanmar,470
Venezuela,469
Trinidad and Tobago,456
Nicaragua,431
Tunisian Republic,363
United Arab Emirates,358
Uruguay,342
Greece,341
Slovenia,280
Norway,235
New Zealand,226
Russian Federation,222
Haiti,215
Ukraine,192
Estonia,157
Saint Martin,144
Serbia,134
Saudi Arabia,124
Jamaica,117
Aruba,103
Bolivia,102
Cuba,101
Barbados,97
Latvia,94
Croatia,80
Luxembourg,77
Paraguay,77
Lao People's Democratic Republic,75
Bosnia and Herzegovina,73
Guyana,68
Albania,67
malt,66
Madagascar,64
Dominica,62
Liechtenstein,62
Curacao,48
Bahamas,44
Lebanon,43
Gabon,39
Algeria,38
Jordan,37
Bermuda,36
Oman,36
Islamic Republic of Afghanistan,35
Kenya,34
Georgia,34
Ethiopia,34
Republic of Belarus,33
Belize,33
Republic of Congo,33
Swaziland,32
Cameroon,32
Old and bearded,31
Ghana,30
Ivory Coast,28
Mauricio,27
Netherlands Antilles,27
British Virgin Islands,26
Uzbekistan,26
Cyprus,25
Syria,24
Senegal,24
Palestine,24
Nepal,23
Nigeria,23
Iceland,22
Sao Tome and Principe,21
Montenegro,20
Central African Republic,20
St. Lucia,19
Republic of Fiji,18
Isle of Man,17
Tanzania,16
Mauritania,16
Gibraltar,15
Turks and Caicos Islands,15
Republic of Moldova,15
Chad,13
Uganda,13
Grenade,12
Kingdom of Bahrain,12
Malawi,11
Iran,10
Taste,10
Republic of Macedonia,10
Zambia,9
Surinam,9
Union of the Comoros,9
Republic of Angola,8
French Polynesia,8
Aland Islands,7
Christmas Island,7
Namibia,7
Cape Verde,6
Mayotte,6
Vatican City State,5
Faroe Islands,5
Turkmenistan,5
Botswana,4
Mozambique,4
Libya,4
New Caledonia,3
Equatorial Guinea,3
Papua New Guinea,3
Antarctica,3
Kyrgyz Republic,3
Lesotho,3
Occidental Sahara,2
Saint Kitts and Nevis,2
Azerbaijan,2
Seychelles,2
St. Vincent and the Grenadines,2
Sierra Leone,2
Andorra,2
Nauru,2
Niger,2
Tokelau,2
Bouvet Island,2
Sudan,2
Armenia,2
Rwanda,2
Democratic Republic of Timor-Leste,1
Yemen,1
Mongolia,1
Republic of Zimbabwe,1
British Indian Ocean Territory,1
Kuwait,1
Tajikistan,1
Eel,1
Republic of Palau,1
Liberia,1
Gambia,1
Kiribati,1
Norfolk Islands,1
Burundi,1
Guinea,1
guam,1
Benin,1
Federated States of Micronesia,1
Iraq,1
Cayman Islands,1
Wallis and Futuna Islands,1
