Country,Total_imports
China,203794
United States of America,154279
Spain,25455
Italy,17690
Mexico,17593
Japan,14951
Germany,14767
Brazil,8393
Republic of Korea,7830
Canada,6735
India,6459
France,5638
Colombia,5250
United Kingdom,4274
Türkiye,3178
Panama,2728
Netherlands,2530
Thailand,2394
Vietnam,2256
Belgium,2216
Swiss,1946
Sweden,1860
Hong Kong (China),1746
Guatemala,1601
Costa Rica,1500
Indonesia,1489
Poland,1459
Portugal,1448
Denmark,1389
Peru,1275
Malaysia,1230
Austria,1216
Argentina,1203
Chili,1196
Czech Republic,1075
Dominican Republic,972
El Salvador,868
Hungary,696
Ecuador,680
Romania,615
Honduras,615
Bangladesh,548
Finland,547
Morocco,518
Israel,472
Australia,463
Haiti,455
Singapore,454
Philippines,451
Pakistan,428
Cambodia,402
Ireland,351
Slovak Republic,341
Bulgaria,328
Venezuela,326
Russian Federation,288
Nicaragua,266
South Africa,258
Trinidad and Tobago,250
Egypt,244
Myanmar,236
Sri Lanka,211
Greece,196
Ukraine,190
Slovenia,188
Uruguay,182
Lithuania,181
United Arab Emirates,179
Tunisian Republic,170
Norway,170
New Zealand,113
Swaziland,111
Aruba,108
Grenade,102
Saint Martin (French part),101
Jamaica,92
Saudi Arabia,85
Serbia,77
Estonia,77
Albania,67
Curacao,63
Barbados,59
Croatia,58
Cuba,56
Gabon,56
Republic of Belarus,55
Chad,53
Senegal,53
Georgia,44
Paraguay,43
Dominica,41
Bosnia and Herzegovina,40
Latvia,39
Luxembourg,39
malt,38
Belize,36
Kazakhstan,33
Islamic Republic of Afghanistan,31
Old and bearded,31
Netherlands Antilles,29
Bolivia,27
Mauricio,25
Madagascar,24
Nepal,23
Bahamas,23
Jordan,22
Ivory Coast,20
Guyana,20
Macau (China),18
Cameroon,18
Mauritania,18
Mayotte,16
Ethiopia,14
Cyprus,14
British Virgin Islands,14
Republic of Moldova,14
Algeria,13
Cape Verde,13
Lebanon,13
Republic of Fiji,13
Turks and Caicos Islands,12
Sao Tome and Principe,12
Iceland,12
Nigeria,12
Republic of Congo,12
Taste,11
Kenya,11
Palestine,11
Syria,10
Oman,10
Gibraltar,10
Malawi,9
Surinam,9
Lao People's Democratic Republic,9
Armenia,9
Central African Republic,9
Eel,8
Kiribati,7
Republic of Angola,7
Zambia,6
Turkmenistan,6
St. Vincent and the Grenadines,6
Faroe Islands,5
Gambia,5
Tanzania,5
Ghana,5
Sudan,4
Bouvet Island,4
Namibia,4
Vanuatu,4
Antarctica,4
Kyrgyz Republic,4
Bermuda,3
Kingdom of Bahrain,3
St. Lucia,3
Samoa,3
Republic of Zimbabwe,3
Union of the Comoros,3
Mozambique,3
Iran,3
Botswana,3
Uganda,3
Liechtenstein,3
Rwanda,3
Lesotho,3
Sierra Leone,3
Togo,2
American Samoa,2
Nauru,2
New Caledonia,2
Andorra,2
Bailiwick of Jersey,2
Occidental Sahara,2
Yemen,2
Republic of Macedonia,2
Wallis and Futuna Islands,2
Somalia,2
Democratic Republic of East Timor,2
Greenland,2
Montserrat,1
South Georgia and the South Sandwich Islands,1
Mali,1
Tonga,1
Tuvalu,1
Tokelau,1
Niger,1
Saint Kitts and Nevis,1
Brunei,1
Libya,1
Burkina Faso,1
Aland Islands,1
